geometry,id,nom,departement_code,departement_nom,type_zone,niveau,niveau_label,severity,debut,fin,arrete_numero,detail,date_maj
"{""type"":""Polygon"",""coordinates"":[[[4.114945,49.634801],[4.205275,49.723194],[4.303134,49.714932],[4.294461,49.675948],[4.114945,49.634801]]]}",1973154,Oise,08,Ardennes,SUP,,,,,,,"Eaux de surface<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.224953,49.728248],[4.23316,49.957753],[4.454739,49.931067],[4.354647,49.845997],[4.422309,49.857877],[4.365158,49.717879],[4.224953,49.728248]]]}",1973164,Oise,08,Ardennes,SOU,,,,,,,"Eaux souterraines<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.225130442,49.727769065],[4.23316,49.957753],[4.454739,49.931067],[4.354647,49.845997],[4.422309,49.857877],[4.365158,49.717879],[4.225130442,49.727769065]]]}",1973144,Oise,08,Ardennes,SUP,,,,,,,"Eaux de surface<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.387882,49.799948],[4.332878,49.792756],[4.373245,49.825345],[4.387882,49.799948]]]}",1973207,Oise,08,Ardennes,AEP,,,,,,,"Eau du robinet<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.276934,49.846798],[4.3414,49.851572],[4.27828,49.83112],[4.276934,49.846798]]]}",1973463,Oise,08,Ardennes,AEP,,,,,,,"Eau du robinet<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.387882,49.799948],[4.332878,49.792756],[4.373245,49.825345],[4.387882,49.799948]]]}",1973206,Oise,08,Ardennes,SOU,,,,,,,"Eaux souterraines<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.276934,49.846798],[4.3414,49.851572],[4.27828,49.83112],[4.276934,49.846798]]]}",1973462,Oise,08,Ardennes,SOU,,,,,,,"Eaux souterraines<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.229791,49.836024],[4.277656,49.843996],[4.280973,49.830237],[4.229791,49.836024]]]}",1973743,Oise,08,Ardennes,AEP,,,,,,,"Eau du robinet<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.259063,49.820418],[4.22359,49.834102],[4.247884,49.832979],[4.259063,49.820418]]]}",1973527,Oise,08,Ardennes,AEP,,,,,,,"Eau du robinet<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
"{""type"":""Polygon"",""coordinates"":[[[4.229791,49.836024],[4.277656,49.843996],[4.280973,49.830237],[4.229791,49.836024]]]}",1973742,Oise,08,Ardennes,SOU,,,,,,,"Eaux souterraines<br><b style=""color:#e6e6e6""></b><br><i>Oise</i>",12 juil. 2026
